post_code,country,country_abbreviation,latitude,longitude,place_name,state,state_abbreviation,audit_update_ts
00210,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:44:27.336Z
00211,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:44:40.560Z
00212,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:44:52.354Z
00213,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:45:04.115Z
00214,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:45:15.923Z
00215,United States,US,43.0059,-71.0132,Portsmouth,New Hampshire,NH,2025-03-22T18:45:27.702Z
00401,United States,US,41.1381,-73.7847,Pleasantville,New York,NY,2025-03-22T18:58:34.935Z
00501,United States,US,40.9223,-72.6371,Holtsville,New York,NY,2025-03-22T19:08:01.554Z
00544,United States,US,40.9223,-72.6371,Holtsville,New York,NY,2025-03-22T19:11:43.343Z
01001,United States,US,42.0702,-72.6227,Agawam,Massachusetts,MA,2025-03-22T19:50:37.704Z
01002,United States,US,42.3671,-72.4646,Amherst,Massachusetts,MA,2025-03-22T19:50:45.209Z
01003,United States,US,42.3919,-72.5248,Amherst,Massachusetts,MA,2025-03-22T19:50:52.251Z
01004,United States,US,42.3845,-72.5132,Amherst,Massachusetts,MA,2025-03-22T19:50:59.078Z
01005,United States,US,42.4097,-72.1084,Barre,Massachusetts,MA,2025-03-22T19:51:05.957Z
01007,United States,US,42.2751,-72.411,Belchertown,Massachusetts,MA,2025-03-22T19:51:17.947Z
01008,United States,US,42.1829,-72.9361,Blandford,Massachusetts,MA,2025-03-22T19:51:24.894Z
01009,United States,US,42.2061,-72.3405,Bondsville,Massachusetts,MA,2025-03-22T19:51:31.702Z
01010,United States,US,42.1165,-72.1885,Brimfield,Massachusetts,MA,2025-03-22T19:51:38.480Z
01011,United States,US,42.2794,-72.9888,Chester,Massachusetts,MA,2025-03-22T19:51:45.430Z
01012,United States,US,42.3923,-72.8256,Chesterfield,Massachusetts,MA,2025-03-22T19:51:52.291Z
01013,United States,US,42.1596,-72.6082,Chicopee,Massachusetts,MA,2025-03-22T19:51:59.150Z
01014,United States,US,42.1707,-72.6048,Chicopee,Massachusetts,MA,2025-03-22T19:52:05.902Z
01020,United States,US,42.1764,-72.5761,Chicopee,Massachusetts,MA,2025-03-22T19:52:38.189Z
01021,United States,US,42.1707,-72.6048,Chicopee,Massachusetts,MA,2025-03-22T19:52:45.728Z
01022,United States,US,42.1934,-72.5544,Chicopee,Massachusetts,MA,2025-03-22T19:52:52.740Z
01026,United States,US,42.4633,-72.9202,Cummington,Massachusetts,MA,2025-03-22T19:53:14.834Z
01027,United States,US,42.3683,-72.7688,Easthampton,Massachusetts,MA,2025-03-22T19:53:21.643Z
01028,United States,US,42.0672,-72.5056,East Longmeadow,Massachusetts,MA,2025-03-22T19:53:28.345Z
01029,United States,US,42.1909,-73.0517,East Otis,Massachusetts,MA,2025-03-22T19:53:35.126Z
01030,United States,US,42.0718,-72.6751,Feeding Hills,Massachusetts,MA,2025-03-22T19:53:41.977Z
01031,United States,US,42.3322,-72.1986,Gilbertville,Massachusetts,MA,2025-03-22T19:53:48.761Z
01032,United States,US,42.4662,-72.8441,Goshen,Massachusetts,MA,2025-03-22T19:53:55.640Z
01033,United States,US,42.2557,-72.52,Granby,Massachusetts,MA,2025-03-22T19:54:02.531Z
01034,United States,US,42.1127,-72.952,Granville,Massachusetts,MA,2025-03-22T19:54:09.257Z
01035,United States,US,42.3606,-72.5715,Hadley,Massachusetts,MA,2025-03-22T19:54:16.109Z
01036,United States,US,42.0648,-72.4318,Hampden,Massachusetts,MA,2025-03-22T19:54:22.932Z
01037,United States,US,42.3479,-72.2253,Hardwick,Massachusetts,MA,2025-03-22T19:54:29.711Z
01038,United States,US,42.3844,-72.6167,Hatfield,Massachusetts,MA,2025-03-22T19:54:36.508Z
01039,United States,US,42.3818,-72.7032,Haydenville,Massachusetts,MA,2025-03-22T19:54:43.249Z
01040,United States,US,42.202,-72.6262,Holyoke,Massachusetts,MA,2025-03-22T19:54:50.185Z
01041,United States,US,42.1707,-72.6048,Holyoke,Massachusetts,MA,2025-03-22T19:54:57.070Z
01050,United States,US,42.2653,-72.8733,Huntington,Massachusetts,MA,2025-03-22T19:55:45.038Z
